"id","objectid","property","value","uvalue","lvalue","version"
"1","1","DtgSchemaOBJECT","","","","0"
"2","1","DtgSchemaGUID","{EA3E6268-D998-11CE-9454-00AA00A3F36E}","{EA3E6268-D998-11CE-9454-00AA00A3F36E}","","0"
"3","1","DtgSchemaNAME","aspnet_tables","aspnet_tables","","0"
"4","1","DtgDSRefBYTES","1018","1018","","1"
"5","1","DtgDSRefDATA","","","","1"
"6","1","DtgSchemaBYTES","25600","25600","","1"
"7","1","DtgSchemaDATA","","","","1"
"8","8","DtgSchemaOBJECT","","","","0"
"9","8","DtgSchemaGUID","{EA3E6268-D998-11CE-9454-00AA00A3F36E}","{EA3E6268-D998-11CE-9454-00AA00A3F36E}","","0"
"10","8","DtgSchemaNAME","Products Diagram","Products Diagram","","0"
"11","8","DtgDSRefBYTES","766","766","","6"
"12","8","DtgDSRefDATA","","","","6"
"13","8","DtgSchemaBYTES","13312","13312","","6"
"14","8","DtgSchemaDATA","","","","6"
