"Title","Content","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID","ContentID"
"Welcome to Petroferm Inc.","			<br>
			<div style=""color:#393934;font-size:15px;font-weight:bold;text-align:center;padding-top:10px;padding-bottom:10px;"">Our Divisions</div>
			<!-- Begin Our Three Divisions table -->
			<table cellpadding=""0"" cellspacing=""0"" border=""0"" width=""450"" align=""center"">
				<tr>
					<td width=""5"" rowspan=""2""><img src=""images/spacer.gif"" width=""5"" height=""1"" border=""0""></td>
					<td class=""divisionTitleBold"" align=""center"">Petroferm&nbsp;Products</td>
					<td width=""5"" rowspan=""2""><img src=""images/spacer.gif"" width=""5"" height=""1"" border=""0""></td>
					<td class=""divisionTitleBold"" align=""center"">Industrial&nbsp;Products</td>
					<td width=""5"" rowspan=""2""><img src=""images/spacer.gif"" width=""5"" height=""1"" border=""0""></td>
				</tr>
				<!-- links row -->
				<tr> 
					<td valign=""top"" width=""50%"" align=""center"">
						<div style=""padding-top:5px;""><a href=""default.aspx?bu=2"">Petroferm Cleaning Agents</a></div>
						<div style=""padding-top:5px;""><a href=""default.aspx?bu=3"">Petroferm Fuels </a></div>
					</td>
					<td valign=""top"" width=""50%"" align=""center""> 
						<div style=""padding-top:5px;""><a href=""default.aspx?bu=4"">Lambent Technologies</a></div>
						<div style=""padding-top:5px;""><a href=""ssd.asp"">Lambent Technologies, SSD</a></div>
						<div style=""padding-top:5px;""><a href=""wax.asp"">Hansotech Inc.</a></div>
						<div style=""padding-top:5px;""><a href=""default.aspx?bu=5"">Joseph Storey</a></div>
					</td>
				</tr>
			</table>
			<!-- End Our Three Divisions table -->
			<br>
			<table cellpadding=""0"" cellspacing=""0"" border=""0"" width=""572"">
				<tr>
					<td style=""line-height:20px;padding-left:5px;"" colspan=""2""> 
						<b>Petroferm</b> is a specialty chemical manufacturer with a diverse product offering. 
						Our <b>Petroferm Products Division</b> provides finished products used in the manufacturing
						 industry to clean high-reliability electronics and precision parts, and in the fuels and 
						 oil field industry to increase fuel combustion in oil-fired industrial boilers.  Our 
						 <b>Industrial Products Division</b> provides ingredients used in products including plastics 
						 and polymers, lubricants, personal care products, food, and household and institutional cleaners.  
						
					</td>
				</tr>
			</table>","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","1"
"About Petroferm Inc.","<p>Petroferm Inc. is a privately held specialty chemical manufacturer with facilities in the U.S. and Europe.  We have achieved success by combining a relentless focus on our core markets with continued technological innovation.  In Gurnee, IL, we manufacture specialty ingredients for the food, personal care, lubricant, and polymer industries, as well as proprietary products that are used to create water-in-oil emulsions with heavy fuel oil that is burned in large industrial boilers.  In Fernandina Beach, FL we manufacture products that are used to clean high reliability electronics, airplane, and aerospace components.  In Lancaster, UK, we manufacture non-halogenated flame retardants and smoke suppressants based on borates and stannates that are used in the plastics, rubber, and paint industries.</p>
				<p>At Petroferm, our mission is to drive our customers' growth by constantly supplying innovative solutions through superior customer service, a diverse product offering and applications support. </p>","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","2"
"Manufacturing Capabilities","<p>Petroferm's manufacturing capabilities range from simple blends to complex reactions.  Our facility in Florida manufactures all of Petroferm's Cleaning Agents to the strictest quality standards.
				<P>Our Gurnee production facility is ideal for making esters and alkoxylates. In addition to 19 reactors, the facility boasts 7 rail spots, 9 loading docks and over 760,000 gallons of storage capacity for increased materials handling. We fully expect these new capabilities to strengthen our product line offering.
				<p>	
				<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
				<tr>
					<td class=""tblHdr"">Esterfication</td>
					<td class=""tblHdr"">Alkoxylation</td>
					<td class=""tblHdrctr"">Silicones/Silanes</td>
					<td class=""tblHdr"">Antifoams</td>
					<td class=""tblHdr"">Vegetable Oils</td>
				</tr>
				<tr valign=""top"">
					<td class=""tblRow2"">
						Amides<br>
						Fatty Esters<br>
						Glycerol Esters<br>
						Methyl Esters<br>
						PEG Esters<br>
						Phosphate Esters<br>
						Polyglycerol Esters<br>
						Propoxylated Esters<br>
						Sorbitan Esters
					</td>
					<td class=""tblRow2"">
						Ethoxylated Alcohols<br>
						Ethoxylated Amines<br>
						Ethoxylated Esters<br>
						Ethoxylated Glycerine<br>
						Ethoxylated Sorbitol<br>
						EO/PO Copolymers<br>
						PEGs<br>
						Polysorbates<br>
						Surfactants, Anionic<br>and Cationic
					</td>
					<td class=""tblRow2"">
						Silicone Emulsions<br>
						Silicone Fluids<br>
						Functionalized Silicones
					</td>
					<td class=""tblRow2"">
						Silicone<br>
						Non-silicone
					</td>
					<td class=""tblRow2"">
						Canola Oil<br>
						High Oleic Canola Oil<br>
						HEAR Oil<br>
						Medium Blown HEAR Oil
					</td>
				</tr>
				</table>

				<p>The Inorganic Borate and Stannate product range manufactured at Lancaster UK includes the following listed below.

				<p>
				<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
				<tr>
					<td class=""tblHdr"">Inorganic Borates</td>
					<td class=""tblHdr"">Inorganic Stannates</td>
					<td class=""tblHdrctr"">Epoxy Floor Screeds</td>
				</tr>
				<tr valign=""top"">
					<td class=""tblRow2"">
						Zinc Borate<br>
						Barium Metaborate<br>
						Calcium Borate<br>
						Magnesium Borate<br>
						Aluminium Borate<br>
						Potassium Borate<br>
						Melamine Borate<br>
						Zinc Borophosphate<br>
						Zinc Borate Anhydrous<br>
						Calcium Borate Anhydrous<br>
						Magnesium Borate Anhydrous<br>
					</td>
					<td class=""tblRow2"">
						Zinc Hydroxy Stannate<br>
						Zinc Stannate<br>
						ZHS Coated Alumina Trihydrate<br>
						ZHS Coated Magnesium Hydroxide <br>
					</td>
					<td class=""tblRow2"">
						Trawlerdeck 
					</td>
				</tr>
				</table>","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","3"
"Company History","<p>Founded in 1981, Petroferm is a privately held manufacturer of specialty chemicals. In its early days, Petroferm was a biotechnology company focused on recovery, transportation and combustion of heavy hydrocarbons (crude oil).  The ""Fuel Services"" business unit, Petroferm's oldest division, emerged from this initial work.  The ""Cleaning Products"" business unit was also founded in the mid-1980's, with early work to replace hazardous cleaning solvents commonly used in manufacturing processes.  Then the signing of the Montreal Protocol in the late 1980's presented a global opportunity for Petroferm scientists to use their expertise to formulate CFC-free cleaning products, leading to Petroferm's worldwide success in Electronics and Precision Cleaning industries.<p>In the mid-1990's, Petroferm began a series of acquisitions that began with Siltech, manufacturer of specialty silicones, followed by Oleochemical derivatives manufacturer Calgene Chemical, and Hansotech, which sold natural waxes primarily to the Personal Care industry.  These three companies today are the subsidiary Lambent Technologies, now based in Gurnee, IL, in a large surfactant manufacturing plant acquired from BASF Corp in 2003.  In 1999, Petroferm acquired Banner Chemicals in the UK, and in 2004 divested Banner Chemicals, retaining ownership of Banner subsidiary Joseph Storey and Co., Ltd, a manufacturer of flame retardants and smoke suppressants. <p>Today, the Company is organized into two divisions to best serve our customers and focus on target markets.  The Industrial Products Division (Lambent Technologies and Joseph Storey) manufactures specialty ingredients for personal care, food, polymers, and lubricants.  The Petroferm Products Division manufactures a wide variety of industrial cleaning agents (Cleaning Products) and solutions to aid in the combustion of heavy crude (Fuels Services).","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","4"
"Contact Us","			<p>
				<strong>Petroferm Administrative Offices</strong><br>
				2416 Lynndale Road<br>
				Fernandina Beach, FL 32034<br>
				Phone: 904-261-8286<br>
				Fax: 904-261-6994
			<p>
				<strong>Lambent Technologies</strong><br>
				3938 Porett Drive<br>
				Gurnee, IL 60031<br>
				Phone: 800-432-7187<br>
				Fax: 847-249-6792
			<p>
				<strong>Joseph Storey and Company, Ltd</strong><br>
				Heron Chemical Works<br>
				Lancaster, England, LA1 1QQ<br>
				Phone: +44 (0)1524 63252<br>
				Fax: +44 (0)1524 381805
			<p>","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","5"
"Terms and Conditions","<p>Petroferm Inc., a specialty chemical company, makes this Web Site (""Site"") 
                                        available to the public as a service to longstanding customers, new and potential customers, 
                                        and those who merely are interested in our company and/or subsidiaries. We expect the Site to 
                                        expand and change significantly to mirror our rapidly growing company and to promote new business 
                                        opportunities. We encourage your feedback in order to improve the Site and enhance customer 
                                        relationships. We promise to protect customer relationships with honesty, privacy and trust.</p>
                                        
                                        <p>In order to avoid misunderstandings and to promote sound business practices, we set forth 
                                        below terms and conditions for the use of this Site. By accessing, viewing, or using the material 
                                        in the Site, you indicate that you understand the Terms and Conditions and agree to be legally 
                                        bound by them. You should not use this Site if you do not wish to engage in the agreement about 
                                        the Terms and Conditions (this ""Agreement"").</p>
                                        
                                        <b>1. Use and Accuracy</b>
                                        <p>This Site is designed to provide general information about the business and services of Petroferm Inc.. 
                                        While Petroferm Inc. endeavors to keep these materials accurate and up-to-date, Petroferm Inc. does not warrant 
                                        or represent, either expressly or by implication, that the information contained or referenced 
                                        herein is accurate or complete and Petroferm Inc. shall not be liable in any way for possible errors or 
                                        omissions in the contents hereof. In addition, Petroferm Inc. reserves the right to alter the content of 
                                        this Site at any time, for any reason, without prior notification, and will not be liable in any 
                                        way for possible consequences of such changes. Petroferm Inc. reserves the right to terminate your access 
                                        to the Site or any portion of this Site without notice in the event that you violate this Agreement 
                                        or for any reason whatsoever.</p>
                                        
                                        <b>2. Intellectual Property</b>
                                        <p>All material contained in this Site is protected by law, including but not limited to, United States copyright and trademark laws, as well as other state, national and international laws and regulations. Except as indicated, the entire content of www.petroferm.com is ©2003 Petroferm Inc., and any commercial use requires written permission of Petroferm Inc.. Petroferm Inc. also owns a copyright in this Site as a collective work and/or compilation, and in the selection, coordination, arrangement, organization and enhancement of such content. You may use, reproduce, distribute or reprint materials available from this Site for your personal and non-commercial use, provided (i) proper copyright notices appear in all reproductions, (ii) no documents or related images are modified in any way; and (iii) no graphic images available from this Site are used, copied or distributed separate from accompanying text. Any text materials in the Web Site may not be modified in any way. All marks designating Petroferm Inc.'s products and services are proprietary trademarks of Petroferm Inc.. Use or misuse of these trademarks is expressly prohibited and may violate federal and state trademark laws. Please be apprised that Petroferm Inc. enforces its intellectual property rights to the fullest extent of the law.</p>

                                        <b>3. Disclaimers and Limitation of Liability</b>
                                        <p>USE OF THIS SITE IS ENTIRELY AT YOUR OWN RISK. NEITHER Petroferm Inc. NOR ANY OF ITS AFFILIATES IS RESPONSIBLE FOR THE CONSEQUENCES OF RELIANCE ON ANY INFORMATION CONTAINED OR SUBMITTED TO THE SITE, AND THE RISK OF INJURY RESTS ENTIRELY WITH YOU. THESE MATERIALS ARE PROVIDED ""AS IS"" WITHOUT WARRANTY OF ANY KIND, EITHER EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO THE IMPLIED WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE. </p>
                                        <p>Petroferm Inc. AND ITS AFFILIATES SHALL NOT BE LIABLE FOR ANY SPECIAL, INDIRECT, INCIDENTAL, PUNITIVE OR CONSEQUENTIAL DAMAGES, INCLUDING WITHOUT LIMITATION, LOST REVENUES OR LOST PROFITS, WHICH MAY RESULT FROM THE USE OF, ACCESS TO, OR INABILITY TO USE THESE MATERIALS. BECAUSE SOME STATES DO NOT ALLOW THE LIMITATION OR EXCLUSION OF LIABILITY FOR CONSEQUENTIAL OR INCIDENTAL DAMAGES, THE ABOVE LIMITATION OR EXCLUSION MAY NOT APPLY TO YOU. IF YOU ARE DISSATISFIED WITH ANY PORTION OF THIS SITE, OR WITH ANY OF THESE TERMS OF USE, YOUR SOLE AND EXCLUSIVE REMEDY IS TO DISCONTINUE USING THIS SITE. </p>
                                        <p>Petroferm Inc. and its affiliates will not be liable for any loss resulting from a cause over which they do not have complete control, including but not limited to failure of electronic or mechanical equipment or communication lines, telephone or other interconnect problems, computer viruses, unauthorized access, theft, operator errors, severe weather, earthquakes or natural disasters, strikes or other labor problems, wars, or governmental restrictions. </p>
                                        <p>This Site may contain links to other Internet web sites for the convenience of users in locating information that may be of interest. These sites are maintained by third parties over which Petroferm Inc. exercises no control and, accordingly, Petroferm Inc. expressly disclaims any responsibility for the content, the accuracy of the information and/or quality of products or services provided by or advertised on these third-party sites. Petroferm Inc.'s inclusion of links to any web sites does not imply any endorsement of the material on such web sites or any association with their operators. </p>
                                        
                                        <b>4. Applicable Laws and Jurisdictional Issues</b>
                                        <p>In connection with use of this Site, you shall abide by all applicable federal, state and local laws, including those pertaining to such areas as libel, slander, defamation, trade libel, product disparagement, harassment, invasion of privacy, and copyright or trademark infringement. </p>
                                        <p>These Terms and Conditions will be governed by and construed in accordance with the laws of the State of Florida, United States of America, without reference to its conflicts or choice of law rules. All activity occurring in connection with the site (including, but not limited to, accessing pages, downloading materials or other activities initiated by you) is presumed to occur in the State of Florida. Furthermore, if you accept these Terms and Conditions, you consent to the jurisdiction of the federal and state courts presiding in Florida, and agree to accept service of process by mail and hereby waive any and all jurisdictional and venue defenses otherwise available. </p>
                                        <p>If any part of this Agreement is declared invalid or unenforceable under applicable law, then such provision will be automatically adjusted to the minimum extent necessary to conform to the requirements for validity as declared at such time and, as so adjusted, will be incorporated as a part of this Agreement as though originally included and the remaining parts will continue to remain in effect. A printed version of this Agreement and of any notice given in electronic form will be admissible in any proceeding relating to this Agreement to the same extent as if in writing and signed by each party. </p>

                                        <b>5. Indemnification</b>
                                        <p>You agree to indemnify and hold harmless Petroferm Inc., its affiliates, and all of their respective directors, officers, employees, representatives, proprietors, partners, shareholders, servants, agents, predecessors, successors, assigns, and attorneys from and against any and all claims, proceedings, damages, injuries, liabilities, losses, costs, and expenses (including attorney's fees and litigation expenses) relating to or arising from your use of the Site and any breach by you of this Agreement. </p>
                                        
                                        <b>6. Privacy</b>
                                        <p>""Petroferm Inc.'s policy is to respect and protect the privacy of our users. Petroferm Inc. agrees to exercise reasonable precautions to maintain the confidentiality of all information provided by users in connection with accessing this site. Petroferm Inc. does not collect personal identifying information about individuals except when specifically and knowingly provided by such individuals. </p>
                                        <p>Petroferm Inc. will never willfully sell, rent or trade personal information about our users to any third party. (Except in the case where Petroferm Inc. is acquired by a third party.) Petroferm Inc. may disclose personal information in special cases when we have reason to believe that disclosing this information is necessary to identify, contact, or bring legal action against someone who may be causing injury to or interference with (either intentionally or unintentionally) Petroferm Inc.'s rights or property or anyone that could be harmed by such activities. Petroferm Inc. may disclose personal information when we believe in good faith that the law requires it. </p>
                                        <p>Petroferm Inc. does routinely disclose personal information to its sales, marketing and service personnel and may disclose personal information to one of its suppliers, business partners or distributors. In this case, we will make every effort to receive your permission before disclosing personal information. </p>
                                        <p>Petroferm Inc. also collects aggregate information about our Web site users. Aggregate information includes, for example, unique URLs; top referring sites and URLs; keyword referrals; top search engines; and most used browsers and platforms. We may share this information with suppliers, business partners, distributors and other third parties. Aggregate data is used to make our site a better experience for you."" </p>
                                        
                                        <b>7. Correspondence</b>
                                        <p>Petroferm Inc. is pleased to hear from users of our Web Site and welcomes your feedback and suggestions about how to improve this Site. Petroferm Inc. must, however, regretfully ask that you do not send it any copyrighted or proprietary information. If you send such information, the information shall be deemed, and shall remain, the property of Petroferm Inc.. Any ideas, suggestions, or any other material received through this Site will be deemed to include permission for Petroferm Inc. to adopt, publish, reproduce, disseminate, transmit, distribute, copy, use or act on such communications without additional approval or consideration, and you hereby waive any claim to the contrary. </p>
                                        
                                        <b>8. Export Controls</b>
                                        <p>This Site is controlled and operated by Petroferm Inc. from its offices within the United States. Petroferm Inc. makes no representation that materials in the Site are appropriate or available for use in other locations, and access to them from territories where their contents are illegal is prohibited. Those who choose to access this Site from other locations do so on their own volition and are responsible for compliance with all applicable local laws. </p>
                                        
                                        <b>9. Modifications to Agreement</b>
                                        <p>Petroferm Inc. reserves the right to update this Agreement from time to time and without notice. Updates will, in no way, relieve you of your obligations under earlier versions of this Agreement. Use of this Site constitutes acceptance of the terms of the Agreement in place at the moment of use. </p>
                                        
                                        <b>10. Termination</b>
                                        <p>This Agreement is effective until terminated by either party. However, this Agreement's jurisdictional provisions shall remain in full force and effect for any dispute that arises over prior activities on this Site, regardless of whether or not either party has terminated the Agreement. By destroying all materials obtained from any and all the Petroferm Inc. Site(s) and all related documentation and all copies and installations thereof, whether made under the terms of this Agreement or otherwise, this Agreement may be terminated at any time. This Agreement will terminate immediately without notice if in our sole discretion you fail to comply with any term or condition. Upon termination, you must destroy all materials obtained from this Site and all copies thereof. </p>
                                        
                                        <b>11. Entire Agreement</b>
                                        <p>These Terms and Conditions and the other terms and conditions as may be found throughout the Site constitute the entire agreement between you and Petroferm Inc. with respect to your use of the Site. You acknowledge that, in providing you access to and use of the Site, Petroferm Inc. has relied on your agreement to be legally bound by these Terms and Conditions. </p>","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","6"
"Advanced Products for Advanced Cleaning","Petroferm's proprietary cleaning agents are synergistic blends formulated to 					
					meet the increasing  demands of today's manufacturing operations.  Offering the 					
					most diverse chemical technologies in the cleaning industry, our high 					
					performance cleaning agents are capable of removing both organic and inorganic 
					soils from a wide range of surfaces and substrates.  These products are 
					specifically designed to effectively replace toxic, hazardous, 
					flammable or environmentally undesirable chemicals.  Petroferm products are 
					formulated to perform in a wide range of equipment and processes such as;  
					immersion, ultrasonic, turbulation, spray-in-air,  vapor degreasing and hand wipe. 
					<br><br>
					Our products are used in a broad variety of critical cleaning processes and 					
					complex applications including  electronics, aerospace, defense, medical and 					
					automotive applications. Petroferm provides solutions designed to meet and 					
					exceed many stringent industrial environmental and manufacturing 
					specifications.  The Petroferm products are sold under the AXAREL, BIOACT, 			
					CleanSafe, HYDREX, LENIUM, MEGASOLV, Re-Entry, and RustSafe 
					registered tradenames.","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","7"
"About Petroferm Inc.","<p>Petroferm Inc. is a privately held specialty chemical manufacturer with facilities in the U.S. and Europe.  We have achieved success by combining a relentless focus on our core markets with continued technological innovation.  In Gurnee, IL, we manufacture specialty ingredients for the food, personal care, lubricant, and polymer industries, as well as proprietary products that are used to create water-in-oil emulsions with heavy fuel oil that is burned in large industrial boilers.  In Fernandina Beach, FL we manufacture products that are used to clean high reliability electronics, airplane, and aerospace components.  In Lancaster, UK, we manufacture non-halogenated flame retardants and smoke suppressants based on borates and stannates that are used in the plastics, rubber, and paint industries.</p>
				<p>At Petroferm, our mission is to drive our customers' growth by constantly supplying innovative solutions through superior customer service, a diverse product offering and applications support. </p>","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","8"
"Manufacturing Capabilities","<p>Petroferm's manufacturing capabilities range from simple blends to complex reactions.  Our facility in Florida manufactures all of Petroferm's Cleaning Agents to the strictest quality standards.
				<P>Our Gurnee production facility is ideal for making esters and alkoxylates. In addition to 19 reactors, the facility boasts 7 rail spots, 9 loading docks and over 760,000 gallons of storage capacity for increased materials handling. We fully expect these new capabilities to strengthen our product line offering.
				<p>	
				<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
				<tr>
					<td class=""tblHdr"">Esterfication</td>
					<td class=""tblHdr"">Alkoxylation</td>
					<td class=""tblHdrctr"">Silicones/Silanes</td>
					<td class=""tblHdr"">Antifoams</td>
					<td class=""tblHdr"">Vegetable Oils</td>
				</tr>
				<tr valign=""top"">
					<td class=""tblRow2"">
						Amides<br>
						Fatty Esters<br>
						Glycerol Esters<br>
						Methyl Esters<br>
						PEG Esters<br>
						Phosphate Esters<br>
						Polyglycerol Esters<br>
						Propoxylated Esters<br>
						Sorbitan Esters
					</td>
					<td class=""tblRow2"">
						Ethoxylated Alcohols<br>
						Ethoxylated Amines<br>
						Ethoxylated Esters<br>
						Ethoxylated Glycerine<br>
						Ethoxylated Sorbitol<br>
						EO/PO Copolymers<br>
						PEGs<br>
						Polysorbates<br>
						Surfactants, Anionic<br>and Cationic
					</td>
					<td class=""tblRow2"">
						Silicone Emulsions<br>
						Silicone Fluids<br>
						Functionalized Silicones
					</td>
					<td class=""tblRow2"">
						Silicone<br>
						Non-silicone
					</td>
					<td class=""tblRow2"">
						Canola Oil<br>
						High Oleic Canola Oil<br>
						HEAR Oil<br>
						Medium Blown HEAR Oil
					</td>
				</tr>
				</table>

				<p>The Inorganic Borate and Stannate product range manufactured at Lancaster UK includes the following listed below.

				<p>
				<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
				<tr>
					<td class=""tblHdr"">Inorganic Borates</td>
					<td class=""tblHdr"">Inorganic Stannates</td>
					<td class=""tblHdrctr"">Epoxy Floor Screeds</td>
				</tr>
				<tr valign=""top"">
					<td class=""tblRow2"">
						Zinc Borate<br>
						Barium Metaborate<br>
						Calcium Borate<br>
						Magnesium Borate<br>
						Aluminium Borate<br>
						Potassium Borate<br>
						Melamine Borate<br>
						Zinc Borophosphate<br>
						Zinc Borate Anhydrous<br>
						Calcium Borate Anhydrous<br>
						Magnesium Borate Anhydrous<br>
					</td>
					<td class=""tblRow2"">
						Zinc Hydroxy Stannate<br>
						Zinc Stannate<br>
						ZHS Coated Alumina Trihydrate<br>
						ZHS Coated Magnesium Hydroxide <br>
					</td>
					<td class=""tblRow2"">
						Trawlerdeck 
					</td>
				</tr>
				</table>","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","9"
"Company History","<p>Founded in 1981, Petroferm is a privately held manufacturer of specialty chemicals. In its early days, Petroferm was a biotechnology company focused on recovery, transportation and combustion of heavy hydrocarbons (crude oil).  The ""Fuel Services"" business unit, Petroferm's oldest division, emerged from this initial work.  The ""Cleaning Products"" business unit was also founded in the mid-1980's, with early work to replace hazardous cleaning solvents commonly used in manufacturing processes.  Then the signing of the Montreal Protocol in the late 1980's presented a global opportunity for Petroferm scientists to use their expertise to formulate CFC-free cleaning products, leading to Petroferm's worldwide success in Electronics and Precision Cleaning industries.<p>In the mid-1990's, Petroferm began a series of acquisitions that began with Siltech, manufacturer of specialty silicones, followed by Oleochemical derivatives manufacturer Calgene Chemical, and Hansotech, which sold natural waxes primarily to the Personal Care industry.  These three companies today are the subsidiary Lambent Technologies, now based in Gurnee, IL, in a large surfactant manufacturing plant acquired from BASF Corp in 2003.  In 1999, Petroferm acquired Banner Chemicals in the UK, and in 2004 divested Banner Chemicals, retaining ownership of Banner subsidiary Joseph Storey and Co., Ltd, a manufacturer of flame retardants and smoke suppressants. <p>Today, the Company is organized into two divisions to best serve our customers and focus on target markets.  The Industrial Products Division (Lambent Technologies and Joseph Storey) manufactures specialty ingredients for personal care, food, polymers, and lubricants.  The Petroferm Products Division manufactures a wide variety of industrial cleaning agents (Cleaning Products) and solutions to aid in the combustion of heavy crude (Fuels Services).","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","10"
