"DeploymentSqlID","DeploymentJobID","SqlStatement","ExecuteDate","ActiveFlag"
"1","1","insert into tblDeploymentQueue_U (TableName, KeyName, KeyNameValue, RecordAction, DeploymentJobID, DeploymentDate, DeployedBy, ActiveFlag) select 'tblImage', 'ImageID', ImageID, case MarkedForDeletion when 1 then 'DELETE' else 'INSERT' end , 1, getdate(), 'System Administrator', 1 from tblImage where UPPER(WorkflowStatus) = 'PENDING DEPLOYMENT'","2007-03-18 21:51:28","0"
"2","1","delete tblImage_LIVE from tblDeploymentQueue_U q, tblImage_LIVE l where q.KeyNameValue = l.ImageID and q.DeploymentJobID = 1 and q.TableName = 'tblImage' and UPPER(q.RecordAction) in ('DELETE','INSERT') and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"3","1","insert into tblImage_LIVE select fn_a.ImagePath, fn_a.Alt, fn_a.Width, fn_a.Height, fn_a.PublishDate, fn_a.ExpirationDate, fn_a.WorkflowStatus, fn_a.LastModifiedDate, fn_a.LastModifiedBy, fn_a.ActiveFlag, fn_a.MarkedForDeletion, fn_a.DeploymentJobID, fn_a.ImageID from tblImage fn_a, tblDeploymentQueue_U q where q.KeyNameValue = fn_a.ImageID and q.DeploymentJobID = 1 and q.TableName = 'tblImage' and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"4","1","update tblImage_LIVE set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 1 from tblDeploymentQueue_U q, tblImage_LIVE l where q.KeyNameValue = l.ImageID and q.TableName = 'tblImage' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"5","1","delete tblImage from tblDeploymentQueue_U q, tblImage cms where q.KeyNameValue = cms.ImageID and q.DeploymentJobID = 1 and q.TableName = 'tblImage' and UPPER(q.RecordAction) = 'DELETE' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"6","1","update tblImage set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 0, LastModifiedDate = getdate() from tblDeploymentQueue_U q, tblImage cms where q.KeyNameValue = cms.ImageID and q.TableName = 'tblImage' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"7","1","insert into tblDeploymentQueue_U (TableName, KeyName, KeyNameValue, RecordAction, DeploymentJobID, DeploymentDate, DeployedBy, ActiveFlag) select 'tblRegion', 'RegionID', RegionID, case MarkedForDeletion when 1 then 'DELETE' else 'INSERT' end , 1, getdate(), 'System Administrator', 1 from tblRegion where UPPER(WorkflowStatus) = 'PENDING DEPLOYMENT'","2007-03-18 21:51:28","0"
"8","1","delete tblRegion_LIVE from tblDeploymentQueue_U q, tblRegion_LIVE l where q.KeyNameValue = l.RegionID and q.DeploymentJobID = 1 and q.TableName = 'tblRegion' and UPPER(q.RecordAction) in ('DELETE','INSERT') and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"9","1","insert into tblRegion_LIVE select fn_a.RegionName, fn_a.ImageID, fn_a.PublishDate, fn_a.ExpirationDate, fn_a.WorkflowStatus, fn_a.LastModifiedDate, fn_a.LastModifiedBy, fn_a.ActiveFlag, fn_a.MarkedForDeletion, fn_a.DeploymentJobID, fn_a.RegionID from tblRegion fn_a, tblDeploymentQueue_U q where q.KeyNameValue = fn_a.RegionID and q.DeploymentJobID = 1 and q.TableName = 'tblRegion' and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"10","1","update tblRegion_LIVE set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 1 from tblDeploymentQueue_U q, tblRegion_LIVE l where q.KeyNameValue = l.RegionID and q.TableName = 'tblRegion' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"11","1","delete tblRegion from tblDeploymentQueue_U q, tblRegion cms where q.KeyNameValue = cms.RegionID and q.DeploymentJobID = 1 and q.TableName = 'tblRegion' and UPPER(q.RecordAction) = 'DELETE' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"12","1","update tblRegion set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 0, LastModifiedDate = getdate() from tblDeploymentQueue_U q, tblRegion cms where q.KeyNameValue = cms.RegionID and q.TableName = 'tblRegion' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"13","1","insert into tblDeploymentQueue_U (TableName, KeyName, KeyNameValue, RecordAction, DeploymentJobID, DeploymentDate, DeployedBy, ActiveFlag) select 'tblProductAttributeType', 'AttribTypeID', AttribTypeID, case MarkedForDeletion when 1 then 'DELETE' else 'INSERT' end , 1, getdate(), 'System Administrator', 1 from tblProductAttributeType where UPPER(WorkflowStatus) = 'PENDING DEPLOYMENT'","2007-03-18 21:51:28","0"
"14","1","delete tblProductAttributeType_LIVE from tblDeploymentQueue_U q, tblProductAttributeType_LIVE l where q.KeyNameValue = l.AttribTypeID and q.DeploymentJobID = 1 and q.TableName = 'tblProductAttributeType' and UPPER(q.RecordAction) in ('DELETE','INSERT') and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
