"HeaderSideContentModuleID","Title","LineText1","InternalLink1","InternalLink1Type","ExternalLink1","LineText2","InternalLink2","InternalLink2Type","ExternalLink2","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID"
"1","Market Landing Page Header Side Content","To visit the Petroferm home page click here.","1","PAGE","","To visit the Petroferm home page click here.","1","PAGE","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"2","Market Landing Page Header Side Content","To visit the Petroferm home page click here.","1","PAGE","","To visit the Petroferm home page click here.","1","PAGE","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"3","Market Landing Page Header Side Content","To visit the Petroferm home page click here.","1","PAGE","","To visit the Petroferm home page click here.","1","PAGE","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"4","Market Landing Page Header Side Content","To visit the Petroferm home page click here.","1","PAGE","","To visit the Petroferm home page click here.","1","PAGE","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"5","Market Landing Page Header Side Content","To visit the Petroferm home page click here.","1","PAGE","","To visit the Petroferm home page click here.","1","PAGE","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"6","Market Landing Page Header Side Content","To visit the Petroferm home page click here.","1","PAGE","","To visit the Petroferm home page click here.","1","PAGE","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"7","Market Landing Page Header Side Content","To visit the Petroferm home page click here.","1","PAGE","","To visit the Petroferm home page click here.","1","PAGE","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"8","Market Landing Page Header Side Content","To visit the Petroferm home page click here.","1","PAGE","","To visit the Petroferm home page click here.","1","PAGE","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"9","Market Landing Page Header Side Content","To visit the Petroferm home page click here.","1","PAGE","","To visit the Petroferm home page click here.","1","PAGE","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"10","Market Landing Page Header Side Content","To visit the Petroferm home page click here.","1","PAGE","","To visit the Petroferm home page click here.","1","PAGE","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"11","Market Landing Page Header Side Content","To visit the Petroferm home page click here.","1","PAGE","","To visit the Petroferm home page click here.","1","PAGE","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
