"ImageID","ImagePath","Alt","Width","Height","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID"
"1","web/files/images/logos/petrofermlogo.png","Petroferm Inc.","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"2","web/files/images/header/petroferm_home_menu2.jpg","Petroferm Inc.","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"3","web/files/images/logos/PetrofermCleaningLogo.gif","Petroferm Cleaning Division","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"4","web/files/images/header/cleaning_home_menu1.jpg","[REPLACE ALT TEXT]","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"5","web/files/images/nav/nav_cleaning_electronics_on.gif","Electronics Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"6","web/files/images/nav/nav_cleaning_electronics_off.gif","Electronics Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"7","web/files/images/header/cleaning_electronics_menu1.jpg","Electronics Market","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"8","web/files/images/nav/nav_cleaning_precision_on.gif","Precision Cleaning Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"9","web/files/images/nav/nav_cleaning_precision_off.gif","Precision Cleaning Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"10","web/files/images/header/cleaning_precision_menu1.jpg","Precision Cleaning Market","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"11","web/files/images/nav/nav_cleaning_asphalt_on.gif","Asphalt Products Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"12","web/files/images/nav/nav_cleaning_asphalt_off.gif","Asphalt Products Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"13","web/files/images/header/cleaning_asphalt_menu1.jpg","Asphalt Products Market","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"14","web/files/images/nav/nav_cleaning_aerospace_on.gif","Aerospace/Airline Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"15","web/files/images/nav/nav_cleaning_aerospace_off.gif","Aerospace/Airline Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"16","web/files/images/header/cleaning_aerospace_menu1.jpg","Aerospace/Airline Market","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"17","web/files/images/logos/FuelOilfieldLogo.gif","Petroferm Fuel and Oilfield Division","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"18","web/files/images/header/fueloil_home_menu1.jpg","Petroferm Fuel and Oil Division","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"19","web/files/images/nav/nav_fueloil_fuel_on.gif","Fuel Market","145","44","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"20","web/files/images/nav/nav_fueloil_fuel_off.gif","Fuel Market","145","44","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"21","web/files/images/header/fueloil_fuel_menu1.jpg","Fuel Market","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"22","web/files/images/nav/nav_fueloil_oilfield_on.gif","Oilfield Market","145","44","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"23","web/files/images/nav/nav_fueloil_oilfield_off.gif","Oilfield Market","145","44","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"24","web/files/images/header/fueloil_oilfield_menu1.jpg","Oilfield Market","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"25","web/files/images/logos/LambentLogo.gif","Lambent Technologies Corp","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"26","web/files/images/header/lambent_home_menu1.jpg","[REPLACE ALT TEXT]","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"27","web/files/images/nav/nav_food_on.gif","Food Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"28","web/files/images/nav/nav_food_off.gif","Food Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"29","web/files/images/header/lambent_food_menu1.jpg","Food Market","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"30","web/files/images/nav/nav_coatings_on.gif","Coatings and Colorants Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"31","web/files/images/nav/nav_coatings_off.gif","Coatings and Colorants Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"32","web/files/images/header/lambent_coatings_menu1.jpg","Coatings and Colorants Market","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"33","web/files/images/nav/nav_lubricants_on.gif","Lubricants and Metalworking Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"34","web/files/images/nav/nav_lubricants_off.gif","Lubricants and Metalworking Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"35","web/files/images/header/lambent_lubricants_menu1.jpg","Lubricants and Metalworking Market","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"36","web/files/images/nav/nav_personal_on.gif","Personal Care and Pharmaceutical Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"37","web/files/images/nav/nav_personal_off.gif","Personal Care and Pharmaceutical Market","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"38","web/files/images/header/lambent_personal_care_menu1.jpg","Personal Care and Pharmaceutical Market","443","110","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"39","web/files/images/logos/JosephStoreyLogo.gif","Joseph Storey & Co LTD","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
