"ImageModuleID","ImageID","ImageType","ImageOrder","WelcomeImageID","WelcomeTitle","WelcomeLinkPageID","WelcomeLinkPageIDList","WelcomeLinkTextList","RelatedImageModuleID","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID"
"1","2","HEADER IMAGE","1","","","","","","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:30","1","1","0","0"
"2","4","HEADER IMAGE","1","","","","","","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:30","1","1","0","0"
"3","5","NAVIGATION ON","1","","","","","","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:30","1","1","0","0"
"4","6","NAVIGATION OFF","2","","","","","","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:30","1","1","0","0"
"5","7","HEADER","1","","","","","","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:30","1","1","0","0"
"6","8","NAVIGATION ON","1","","","","","","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:30","1","1","0","0"
"7","9","NAVIGATION OFF","2","","","","","","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:30","1","1","0","0"
"8","10","HEADER","1","","","","","","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:30","1","1","0","0"
"9","11","NAVIGATION ON","1","","","","","","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:30","1","1","0","0"
"10","12","NAVIGATION OFF","2","","","","","","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:30","1","1","0","0"
"11","13","HEADER","1","","","","","","","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:30","1","1","0","0"
