"MarketID","BusinessUnitID","MarketName","MarketOrder","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID"
"1","2","Electronics Market","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"2","2","Precision Cleaning Market","2","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"3","2","Asphalt Products Market","3","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"4","2","Aerospace/Airline Market","4","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"5","3","Fuel Market","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"6","3","Oilfield Market","2","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"7","4","Food Market","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"8","4","Coatings and Colorants Market","2","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"9","4","Lubricants and Metalworking Market","3","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"10","4","Personal Care and Pharmaceutical Market","4","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
"11","5","Flame Retardants Market","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:29","1","1","0","0"
