"BusinessUnitID","MarketName","MarketOrder","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID","MarketID"
"2","Electronics Market","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","1"
"2","Precision Cleaning Market","2","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","2"
"2","Asphalt Products Market","3","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","3"
"2","Aerospace/Airline Market","4","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","4"
"3","Fuel Market","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","5"
"3","Oilfield Market","2","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","6"
"4","Food Market","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","7"
"4","Coatings and Colorants Market","2","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","8"
"4","Lubricants and Metalworking Market","3","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","9"
"4","Personal Care and Pharmaceutical Market","4","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","10"
"5","Flame Retardants Market","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","11"
