"MarketID","BusinessUnitID","PageType","PageTitle","MetaKeywords","MetaDescription","PassthroughURL","IsRequired","IsReadOnly","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID","PageID"
"0","1","BUSINESS HOME","Welcome to Petroferm Inc.","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","1"
"0","1","GENERAL CONTENT > ABOUT","About Petroferm Inc.","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","2"
"0","1","GENERAL CONTENT > CAPABILITIES","Manufacturing Capabilities","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","3"
"0","1","GENERAL CONTENT > HISTORY","Company History","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","4"
"0","1","GENERAL CONTENT","Contact Us","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","5"
"0","1","PASSTHROUGH","Request Information","","","Contact.aspx?bu=1&type=request","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","6"
"0","1","PASSTHROUGH","Provide Feedback","","","Contact.aspx?bu=1&type=feedback","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","7"
"0","1","PASSTHROUGH","Information/Sample Requests","","","Register.aspx?bu=1","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","8"
"0","1","GENERAL CONTENT > TERMS","Terms and Conditions","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","9"
"0","2","BUSINESS HOME","Advanced Products for Advanced Cleaning","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","10"
"0","2","GENERAL CONTENT > ABOUT","About Petroferm Inc.","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","11"
"0","2","GENERAL CONTENT > CAPABILITIES","Manufacturing Capabilities","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","12"
"0","2","GENERAL CONTENT > HISTORY","Company History","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","13"
"0","2","GENERAL CONTENT","Contact Us","[REPLACE KEYWORD TEXT]","[REPLACE DESCRIPTION TEXT]","","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:00","1","1","0","1","14"
