"specific_name","ordinal_position","parameter_mode","parameter_name","data_type","character_maximum_length"
"sp__GetBusinessUnits","1","IN","@LiveMode","int","0"
"sp__GetMarketByID","1","IN","@MarketID","int","0"
"sp__GetMarketByID","2","IN","@LiveMode","bit","0"
"sp__GetMarketByID","5","INOUT","@MarketOrder","int","0"
"sp__GetMarketByID","14","INOUT","@JobID","int","0"
"sp__GetMarketByID","15","INOUT","@JobName","varchar","100"
"sp__GetMarketByID","16","INOUT","@JobDescription","varchar","500"
"sp__AddProductAttribute","1","IN","@BusUnitID","int","0"
"sp__AddProductAttribute","2","IN","@AttribName","varchar","100"
"sp__AddProductAttribute","3","IN","@AllowMultiple","bit","0"
"sp__AddProductAttribute","11","INOUT","@AttribTypeID","int","0"
"sp__AddURLRewritePath","2","IN","@UrlPathOverride","varchar","500"
"sp__GetPageByID","2","IN","@LiveMode","bit","0"
"sp__AddProduct","3","IN","@ProductKeywords","varchar","200"
"sp__AddProduct","6","IN","@PublishDate","datetime","0"
"sp__AddProductAttributeReln","8","IN","@JobID","int","0"
"sp__AddProductAttributeReln","10","INOUT","@ProdAttribRelnID","int","0"
"sp__DeleteProductAttributeReln","2","IN","@UserID","int","0"
"sp__DeleteProductAttributeReln","4","IN","@WorkflowStatus","varchar","50"
"sp__GetProductAttributeRelnByID","5","INOUT","@PublishDate","datetime","0"
"sp__GetProductAttributeRelnByID","8","INOUT","@LastModifiedDate","datetime","0"
"sp__GetProductAttributeRelnByID","10","INOUT","@LastModifiedByName","varchar","150"
"sp__GetProductAttributeRelnByID","11","INOUT","@MarkedForDeletion","bit","0"
"sp__GetProductAttributeRelnByID","12","INOUT","@FmtMarkedForDeletion","varchar","3"
"sp__GetProductAttributeRelnByID","13","INOUT","@JobID","int","0"
"sp__GetProductAttributeRelnByID","14","INOUT","@JobName","varchar","100"
"sp__GetProductAttributeRelnByID","15","INOUT","@JobDescription","varchar","500"
"sp__GetProductAttributeRelnsByAttribute","1","IN","@AttribID","int","0"
"sp__GetProductAttributeRelnsByProduct","1","IN","@ProductID","int","0"
"sp__GetProductAttributeRelnsByProduct","2","IN","@LiveMode","bit","0"
"sp__GetProductByID","1","IN","@ProductID","int","0"
"sp__GetProductByID","2","INOUT","@BusUnitID","int","0"
"sp__GetProductByID","3","INOUT","@ProductName","varchar","200"
"sp__GetProductByID","4","INOUT","@ProductKeywords","varchar","200"
"sp__GetProductByID","5","INOUT","@ProductBlurb","varchar","2000"
