"TableID","TableName","DeploymentOrder","TableType","TablePurpose","StagingRecords","VersionRecords","LiveRecords","DeploymentCounts","LastModifiedDate","IgnoreDeploy","CanTruncate","BusinessUnitTable","BusinessUnitRelnTable","MarketTable","MarketRelnTable","PageTable"
"2","tblBusinessUnit","2","CMS","","5","","","1","2007-03-18 21:51:31","0","1","1","0","0","0","0"
"3","tblDeploymentQueue_U","","UTILITY","","","","","","2007-03-18 21:51:31","1","1","0","0","0","0","0"
"4","tblDeploymentQueueHistory_U","","UTILITY","","","","","","2007-03-18 21:51:31","1","1","0","0","0","0","0"
"5","tblDeploymentSqlLog_U","","UTILITY","","","","","","2007-03-18 21:51:31","1","1","0","0","0","0","0"
"7","tblDocument","10","CMS","","0","","","0","2007-03-18 21:51:31","0","0","0","0","0","0","0"
"8","tblImage","1","CMS","","60","","","1","2007-03-18 21:51:31","0","0","0","1","0","0","0"
"9","tblImageModule","11","CMS","","44","","","1","2007-03-18 21:51:31","0","1","0","1","0","0","0"
"10","tblMarket","3","CMS","","11","","","1","2007-03-18 21:51:31","0","1","1","0","1","0","0"
"12","tblPage","5","CMS","","56","","","1","2007-03-18 21:51:31","0","1","1","0","1","0","1"
"16","tblPageModuleReln","20","CMS","","113","","","1","2007-03-18 21:51:31","0","1","0","0","0","0","1"
"17","tblProduct","6","CMS","","0","","","0","2007-03-18 21:51:31","0","1","1","0","0","0","0"
"18","tblProductAttributeReln","12","CMS","","0","","","0","2007-03-18 21:51:31","0","1","0","1","0","0","0"
"20","tblProductGrid","15","CMS","","0","","","0","2007-03-18 21:51:31","0","1","1","0","0","0","0"
"21","tblProductGridColDef","17","CMS","","0","","","0","2007-03-18 21:51:31","0","1","0","1","0","0","0"
"22","tblProductGridModule","18","CMS","","0","","","0","2007-03-18 21:51:31","0","1","0","1","0","0","0"
"23","tblProductGridRowDef","16","CMS","","0","","","0","2007-03-18 21:51:31","0","1","0","1","0","0","0"
"25","tblProductSearchAttribReln","14","CMS","","0","","","0","2007-03-18 21:51:31","0","1","0","1","0","0","0"
"26","tblQuestionnaireModule","8","CMS","","0","","","0","2007-03-18 21:51:31","0","1","1","1","0","0","0"
"27","tblQuestions","9","CMS","","0","","","0","2007-03-18 21:51:31","0","1","0","1","0","0","0"
"30","tblSideNav","4","CMS","","35","","","1","2007-03-18 21:51:31","0","1","1","0","1","0","1"
"31","tblSideNavProdCategory","19","CMS","","8","","","1","2007-03-18 21:51:31","0","1","1","0","1","0","0"
"32","tblSideNavSection_LKP","0","CMS","","6","","","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"401","tblDeploymentJobs","0","CMS","","1","","","","2007-03-18 21:51:31","1","1","0","0","0","0","0"
"752","tblAppUser","","UTILITY","","","","","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"753","tblContentModule","7","CMS","","58","","","1","2007-03-18 21:51:31","0","1","0","1","0","0","0"
"754","tblDocumentModuleReln","13","CMS","","0","","","0","2007-03-18 21:51:31","0","1","0","1","0","0","0"
"755","tblHeaderSideContentModule","10","CMS","","11","","","1","2007-03-18 21:51:31","0","1","0","1","0","0","0"
"756","tblRegistrant","","UTILITY","","","","","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"953","tblDocumentStats","0","CMS","Log the statistics of each document download","0","","","","2007-03-18 21:51:31","1","1","0","0","0","0","0"
"954","tblError","","UTILITY","Log the application errors","","","","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"956","tblRegion","1","CMS","","10","","","1","2007-03-18 21:51:31","0","0","0","0","0","0","0"
"957","tblBusinessAppUser","0","CMS","","5","","","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"959","tblDomainMapping_U","","UTILITY","","","","","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"960","tblWorkflowAudit_U","","UTILITY","","","","","","2007-03-18 21:51:31","1","1","0","0","0","0","0"
"1755","tblProductAttributeType","1","CMS","","102","","","1","2007-03-18 21:51:31","0","1","1","0","0","0","0"
"1756","tblSearchAttribType","1","CMS","","48","","","1","2007-03-18 21:51:31","0","1","1","0","1","0","0"
"1949","tblUrlRewrite","1","CMS","","56","","","1","2007-03-18 21:51:31","0","1","0","0","0","0","1"
"2251","tblProductBlurbModule","1","CMS","","0","","","0","2007-03-18 21:51:31","0","1","0","0","0","0","0"
"2252","tblProductBlurbModuleReln","1","CMS","","0","","","0","2007-03-18 21:51:31","0","1","0","0","0","0","0"
"4656","tblDomainMapping_U_Backup","0","","","0","0","0","0","2007-01-13 02:55:39","1","0","0","0","0","0","0"
"4819","tblBusinessUnit_LIVE","","LIVE","","0","","5","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4820","tblContentModule_LIVE","","LIVE","","0","","58","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4821","tblDocument_LIVE","","LIVE","","0","","0","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4822","tblDocumentModuleReln_LIVE","","LIVE","","0","","0","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4823","tblHeaderSideContentModule_LIVE","","LIVE","","0","","11","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4824","tblImage_LIVE","","LIVE","","0","","60","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4825","tblImageModule_LIVE","","LIVE","","0","","44","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4826","tblMarket_LIVE","","LIVE","","0","","11","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4827","tblPage_LIVE","","LIVE","","0","","56","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4828","tblPageModuleReln_LIVE","","LIVE","","0","","113","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4829","tblProduct_LIVE","","LIVE","","0","","0","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4830","tblProductAttributeReln_LIVE","","LIVE","","0","","0","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4831","tblProductAttributeType_LIVE","","LIVE","","0","","102","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4832","tblProductBlurbModule_LIVE","","LIVE","","0","","0","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4833","tblProductBlurbModuleReln_LIVE","","LIVE","","0","","0","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4834","tblProductGrid_LIVE","","LIVE","","0","","0","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4835","tblProductGridColDef_LIVE","","LIVE","","0","","0","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4836","tblProductGridModule_LIVE","","LIVE","","0","","0","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4837","tblProductGridRowDef_LIVE","","LIVE","","0","","0","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4838","tblProductSearchAttribReln_LIVE","","LIVE","","0","","0","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4839","tblQuestionnaireModule_LIVE","","LIVE","","0","","0","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4840","tblQuestions_LIVE","","LIVE","","0","","0","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4841","tblRegion_LIVE","","LIVE","","0","","10","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4842","tblSearchAttribType_LIVE","","LIVE","","0","","48","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4843","tblSideNav_LIVE","","LIVE","","0","","35","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4844","tblSideNavProdCategory_LIVE","","LIVE","","0","","8","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
"4845","tblUrlRewrite_LIVE","","LIVE","","0","","56","","2007-03-18 21:51:31","1","0","0","0","0","0","0"
