"AttribTypeID","BusinessUnitID","AttribName","AllowMultiple","IsReadOnly","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID"
"1","2","Product","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"2","2","Description","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"3","2","Datasheets","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"4","2","Approvals","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"5","2","Chemical Name","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"6","2","CFR Clearance","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"7","2","HLB","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"8","2","Applications","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"9","2","INCI Name","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"10","2","Melting Point(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"11","2","Designation","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"12","2","Equipment Type","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"13","2","Equipment Types & Applications","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"14","2","Chemistry Type & Use Concentration","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"15","2","Flash Point","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"16","2","Flash Point,°F(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"17","2","Solvent Base","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"18","2","pH","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"19","2","Corrosion Inhibitor","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"20","2","Process","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"21","2","Vapor Pressure, mm HG","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"22","2","Boiling Point, °F(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"23","2","Exposure Limits","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"24","2","Benefits","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"25","3","Product","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"26","3","Description","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"27","3","Datasheets","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"28","3","Approvals","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"29","3","Chemical Name","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"30","3","CFR Clearance","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"31","3","HLB","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"32","3","Applications","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"33","3","INCI Name","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"34","3","Melting Point(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"35","3","Designation","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"36","3","Equipment Type","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"37","3","Equipment Types & Applications","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"38","3","Chemistry Type & Use Concentration","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"39","3","Flash Point","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"40","3","Flash Point,°F(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"41","3","Solvent Base","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"42","3","pH","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"43","3","Corrosion Inhibitor","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"44","3","Process","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"45","3","Vapor Pressure, mm HG","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"46","3","Boiling Point, °F(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"47","3","Exposure Limits","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"48","3","Benefits","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"49","3","Particulate Emissions (mg/m3)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"50","3","Excess O2","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"51","3","Residual Carbon in Ash(%)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"52","3","NOx Emissions (ppm)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"53","3","Fuel Oil Viscosity (SSF)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"54","3","Technical Information","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"55","4","Product","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"56","4","Description","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"57","4","Datasheets","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"58","4","Approvals","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"59","4","Chemical Name","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"60","4","CFR Clearance","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"61","4","HLB","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"62","4","Applications","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"63","4","INCI Name","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"64","4","Melting Point(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"65","4","Designation","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"66","4","Equipment Type","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"67","4","Equipment Types & Applications","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"68","4","Chemistry Type & Use Concentration","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"69","4","Flash Point","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"70","4","Flash Point,°F(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"71","4","Solvent Base","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"72","4","pH","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"73","4","Corrosion Inhibitor","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"74","4","Process","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"75","4","Vapor Pressure, mm HG","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"76","4","Boiling Point, °F(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"77","4","Exposure Limits","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"78","4","Benefits","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"79","5","Product","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"80","5","Description","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"81","5","Datasheets","1","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"82","5","Approvals","0","1","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"83","5","Chemical Name","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"84","5","CFR Clearance","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"85","5","HLB","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"86","5","Applications","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"87","5","INCI Name","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"88","5","Melting Point(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"89","5","Designation","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"90","5","Equipment Type","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"91","5","Equipment Types & Applications","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"92","5","Chemistry Type & Use Concentration","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"93","5","Flash Point","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"94","5","Flash Point,°F(°C)","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"95","5","Solvent Base","1","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"96","5","pH","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"97","5","Corrosion Inhibitor","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"98","5","Process","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"99","5","Vapor Pressure, mm HG","0","0","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
