"RegionID","RegionName","ImageID","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID"
"1","USA - English","51","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:28","1","1","0","0"
"2","United Kingdom - English","52","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:28","1","1","0","0"
"3","Spanish","53","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:28","1","1","0","0"
"4","Canadian - English","54","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:28","1","1","0","0"
"5","Canadian - French","55","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:28","1","1","0","0"
"6","Italian","56","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:28","1","1","0","0"
"7","German","57","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:28","1","1","0","0"
"8","Chinese - Simplified","58","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:28","1","1","0","0"
"9","Chinese - Traditional","59","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:28","1","1","0","0"
"10","Japanese","60","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:28","1","1","0","0"
