"RegionName","ImageID","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID","RegionID"
"USA - English","51","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:00","1","1","0","1","1"
"United Kingdom - English","52","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:00","1","1","0","1","2"
"Spanish","53","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:00","1","1","0","1","3"
"Canadian - English","54","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:00","1","1","0","1","4"
"Canadian - French","55","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:00","1","1","0","1","5"
"Italian","56","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:00","1","1","0","1","6"
"German","57","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:00","1","1","0","1","7"
"Chinese - Simplified","58","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:00","1","1","0","1","8"
"Chinese - Traditional","59","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:00","1","1","0","1","9"
"Japanese","60","2007-03-18 21:51:26","2037-03-18 21:51:26","LIVE","2007-03-18 21:51:00","1","1","0","1","10"
