"SearchAttribTypeID","BusinessUnitID","MarketID","SearchAttributeName","PublishDate","ExpirationDate","WorkflowStatus","LastModifiedDate","LastModifiedBy","ActiveFlag","MarkedForDeletion","DeploymentJobID"
"1","4","7","Unique Lambent Product","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"2","4","7","High HLB","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"3","4","7","Medium HLB","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"4","4","7","Low HLB","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"5","4","7","Low trans fat (< 1%)","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"6","4","7","Kosher Products","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"7","4","7","Halal Products","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"8","4","7","GRAS products","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"9","4","7","CFR Approved - Direct Food Contact","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"10","4","7","CFR Approved - Indirect Food Contact","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"11","4","7","Liquid Products","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"12","4","7","Solid Products - melting point < 40 degrees Celsius","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"13","4","7","Solid Products - melting point > 40 degrees Celsius","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"14","4","8","Unique Lambent products","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"15","4","8","High HLB","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"16","4","8","Medium HLB","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"17","4","8","Low HLB","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"18","4","8","Low IV","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"19","4","8","High IV","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
"20","4","8","Solid (or High melting point)","2007-03-18 00:00:00","2037-03-18 00:00:00","LIVE","2007-03-18 21:51:28","1","1","0","0"
